Cruise Airfoil
0.621131 0.012241
0.628774 0.012738
0.636385 0.013217
0.643962 0.013677
0.651503 0.014115
0.659006 0.014531
0.666469 0.014921
0.673891 0.015286
0.681270 0.015623
0.688604 0.015933
0.695890 0.016214
0.703128 0.016467
0.710315 0.016692
0.717450 0.016889
0.724530 0.017060
0.731555 0.017205
0.738522 0.017327
0.745429 0.017427
0.752275 0.017508
0.759059 0.017572
0.765777 0.017622
0.772430 0.017661
0.779014 0.017691
0.785530 0.017717
0.791974 0.017740
0.798345 0.017764
0.804642 0.017792
0.810862 0.017827
0.817006 0.017870
0.823070 0.017924
0.829054 0.017990
0.834956 0.018070
0.840775 0.018165
0.846508 0.018275
0.852155 0.018399
0.857715 0.018537
0.863185 0.018687
0.868565 0.018848
0.873852 0.019016
0.879047 0.019190
0.884147 0.019365
0.889152 0.019538
0.894059 0.019705
0.898869 0.019860
0.903579 0.019999
0.908188 0.020117
0.912695 0.020210
0.917100 0.020271
0.921401 0.020295
0.925597 0.020279
0.929686 0.020218
0.933669 0.020106
0.937544 0.019942
0.941309 0.019721
0.944964 0.019441
0.948509 0.019100
0.951942 0.018697
0.955262 0.018232
0.958469 0.017705
0.961561 0.017117
0.964539 0.016472
0.967400 0.015771
0.970146 0.015019
0.972774 0.014221
0.975284 0.013383
0.977675 0.012509
0.979948 0.011608
0.982101 0.010687
0.984134 0.009755
0.986046 0.008818
0.987838 0.007887
0.989507 0.006970
0.991055 0.006076
0.992480 0.005214
0.993782 0.004392
0.994962 0.003620
0.996018 0.002905
0.996950 0.002255
0.997759 0.001677
0.998443 0.001176
0.999003 0.000759
0.999439 0.000430
0.999751 0.000192
0.999938 0.000048
1.000000 0.000000
